adjacent_land_output_valid_pixel_count,adjacent_land_transfer_absolute_sum_vs_reference,adjacent_land_transfer_comparison_pixel_count,adjacent_land_transfer_mean_vs_reference,adjacent_land_transfer_sum_vs_reference,allocated_radiance_over_water,allocated_radiance_over_water_share,allocated_radiance_total,allocation_proxy,array_shape,boundary_pixel_count,city_id,cutout_role,denominator_epsilon_reference,denominator_epsilon_relative,denominator_floor_pixel_count,denominator_instability_pixel_count,denominator_instability_threshold_relative,edge_padding,exact_conservation_assumed,fine_pixel_area_m2,formula,insufficient_proxy_threshold,interpretation,invalid_proxy_neighborhood_pixel_count,invalid_radiance_neighborhood_pixel_count,kernel_configuration,kernel_mass,kernel_parameter_name,kernel_parameter_value,kernel_resolution_m,kernel_semantics,kernel_shape,kernel_type,method_class,minimum_cell_proxy_support_fraction,minimum_valid_kernel_support_fraction,native_cell_count,negative_preclip_output_pixel_count,negative_radiance_input_pixel_count,negative_radiance_policy,operator_consistency_bias,operator_consistency_mae,operator_consistency_nmae_by_source_mean_absolute,operator_consistency_rmse,operator_consistency_sample_count,operator_consistency_source_mean_absolute,operator_name,output_nodata,overlap_record_count,positive_radiance_authority_insufficient_support_share,positive_radiance_authority_on_insufficient_proxy_support,positive_radiance_authority_total,positive_source_radiance_authority_over_water,positive_source_radiance_authority_over_water_share,positive_source_radiance_authority_total,proxy_mean_after_normalization,proxy_mean_before_normalization,proxy_normalization_divisor,proxy_normalization_support_pixel_count,radiance_quality,sigma_m,support_definition,support_fraction_tolerance,support_radius_m,truncate_sigma,valid_output_fraction,valid_output_pixel_count,water_output_valid_pixel_count,water_variant
0,,,,,0.0,0.0,3800180.149887085,uniform_normalized_convolution,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,0,0,circular_mean_reference,0.9999999999999998,radius_m,500.0,10.0,literal_fork_form_reference_not_measured_viirs_psf,"[101, 101]",circular_mean,uniform_baseline,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,43.25160471288396,68.33352234942896,0.16424809926461478,89.12779271087473,8206,416.0384360937964,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3955124.75,0.0,0.0,3955124.870010376,1.0,1.0,1.0,372100,strict,,fine_pixel_centers_within_radius,1e-06,,,1.0,10000,0,not_applicable
0,,,,,0.0,0.0,3899531.178123474,built_form_primary,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,0,0,circular_mean_reference,0.9999999999999998,radius_m,500.0,10.0,literal_fork_form_reference_not_measured_viirs_psf,"[101, 101]",circular_mean,stationary_kernel_allocation,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,37.18752903372318,67.9606020929986,0.16335173915920786,88.12070828228288,8206,416.0384360937964,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3955124.75,0.0,0.0,3955124.870010376,1.6577788955751316,0.36059074678606196,0.2175143856843402,372100,strict,,fine_pixel_centers_within_radius,1e-06,,,1.0,10000,0,no_water_prior
0,,0,,,0.0,0.0,3892340.3320732117,built_form_primary,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,0,0,circular_mean_reference,0.9999999999999998,radius_m,500.0,10.0,literal_fork_form_reference_not_measured_viirs_psf,"[101, 101]",circular_mean,stationary_kernel_allocation,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,37.696889793178435,68.11185857525054,0.16371530288104108,88.73766371793214,8206,416.0384360937964,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3955124.75,0.0,0.0,3955124.870010376,1.6401479103210967,0.35615609427967587,0.21714875975244102,372100,strict,,fine_pixel_centers_within_radius,1e-06,,,1.0,10000,0,persistent_only_soft
0,,0,,,0.0,0.0,3908857.445661545,built_form_primary,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,0,0,circular_mean_reference,0.9999999999999998,radius_m,500.0,10.0,literal_fork_form_reference_not_measured_viirs_psf,"[101, 101]",circular_mean,stationary_kernel_allocation,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,37.56744275428945,67.2438097736936,0.1616288398856816,87.61399506806325,8206,416.0384360937964,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3955124.75,0.0,0.0,3955124.870010376,1.5751419798592925,0.33669564469539487,0.2137557473567002,372100,strict,,fine_pixel_centers_within_radius,1e-06,,,1.0,10000,0,spectral_only_soft
0,,0,,,0.0,0.0,3901932.05352211,built_form_primary,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,0,0,circular_mean_reference,0.9999999999999998,radius_m,500.0,10.0,literal_fork_form_reference_not_measured_viirs_psf,"[101, 101]",circular_mean,stationary_kernel_allocation,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,38.07797022909471,67.36901903443008,0.16192979587886358,88.22932315555244,8206,416.0384360937964,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3955124.75,0.0,0.0,3955124.870010376,1.5632069658247958,0.33368576789349397,0.21346231282314257,372100,strict,,fine_pixel_centers_within_radius,1e-06,,,1.0,10000,0,combined_soft
0,,0,,,0.0,0.0,3908857.4837093353,built_form_primary,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,0,0,circular_mean_reference,0.9999999999999998,radius_m,500.0,10.0,literal_fork_form_reference_not_measured_viirs_psf,"[101, 101]",circular_mean,stationary_kernel_allocation,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,37.56743317059473,67.2438124104183,0.16162884622337656,87.6139927290755,8206,416.0384360937964,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3955124.75,0.0,0.0,3955124.870010376,1.5724835669684398,0.3360160196515977,0.2136849184521666,372100,strict,,fine_pixel_centers_within_radius,1e-06,,,1.0,10000,0,combined_hard_persistent_sensitivity_only
0,,0,,,0.0,0.0,3899531.178123474,built_form_primary,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,0,0,circular_mean_reference,0.9999999999999998,radius_m,500.0,10.0,literal_fork_form_reference_not_measured_viirs_psf,"[101, 101]",circular_mean,stationary_kernel_allocation,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,37.18752903372318,67.9606020929986,0.16335173915920786,88.12070828228288,8206,416.0384360937964,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3955124.75,0.0,0.0,3955124.870010376,1.6577788955751316,0.36059074678606196,0.2175143856843402,372100,strict,,fine_pixel_centers_within_radius,1e-06,,,1.0,10000,0,soft_with_mapped_infrastructure_override
0,,,,,0.0,0.0,650781.7398262024,built_form_primary,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,0,8635,gaussian_fwhm_750m,1.0,fwhm_m,750.0,10.0,named_allocation_sensitivity_not_recovered_viirs_psf,"[257, 257]",gaussian,stationary_kernel_allocation,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,,,,,0,,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3955124.75,0.0,0.0,3955124.870010376,1.5632069658247958,0.33368576789349397,0.21346231282314257,372100,strict,318.49567510800716,,1e-06,1280.0,4.0,0.1345,1345,0,combined_soft
0,,,,,0.0,,0.0,built_form_primary,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,0,10000,gaussian_fwhm_1000m,1.0,fwhm_m,1000.0,10.0,named_allocation_sensitivity_not_recovered_viirs_psf,"[341, 341]",gaussian,stationary_kernel_allocation,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,,,,,0,,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3955124.75,0.0,0.0,3955124.870010376,1.5632069658247958,0.33368576789349397,0.21346231282314257,372100,strict,424.66090014400953,,1e-06,1700.0,4.0,0.0,0,0,combined_soft
0,,,,,0.0,,0.0,built_form_primary,"[100, 100]",0,usa_new_york,dense_building,normalized_proxy_mean,1e-06,0,0,0.05,constant_invalid,False,,"L_tilde = h * (k tensor l) / max(k tensor h, epsilon)",0.05,diagnostic only; lower allocated-water radiance does not select a winner,0,10000,gaussian_fwhm_1500m,1.0,fwhm_m,1500.0,10.0,named_allocation_sensitivity_not_recovered_viirs_psf,"[511, 511]",gaussian,stationary_kernel_allocation,,1.0,,0,0,retain_in_numerator_then_clip_negative_output_after_recording,,,,,0,,fork_form_locally_normalized_radiance_allocation,nan,,0.0,0.0,3955124.75,0.0,0.0,3955124.870010376,1.5632069658247958,0.33368576789349397,0.21346231282314257,372100,strict,636.9913502160143,,1e-06,2550.0,4.0,0.0,0,0,combined_soft
